poste,titre,montant,montant_g,nature,horizon,statut,secteur,sources
eau,Réseaux d'eau et chaussée des municipalités,"49,7 G$",49.7,stock,"déficit constaté en 2025, projeté à 94,5 G$ en 2036",estimation d'un tiers,regions,https://umq.qc.ca/wp-content/uploads/2026/05/00498umq-brochure-fiscalite-numerique.pdf · https://www.newswire.ca/fr/news-releases/sondage-leger-la-majorite-des-quebecois-a-peur-de-manquer-d-eau-l-umq-demande-un-fonds-dedie-au-maintien-des-infrastructures-883796450.html · https://ici.radio-canada.ca/nouvelle/2254039/modele-financier-villes-quebec-plus-soutenable-rapport
etat-des-reseaux-eau,Ce que valent les conduites déjà en mauvais état,"20,6 G$",20.6,stock,"état constaté en 2025, part en mauvais état pouvant doubler d'ici 2035",estimation d'un tiers,regions,https://ceriu.qc.ca/system/files/2026-03/Portrait_infrastructures_eau_municipalites_Quebec-2025_0.pdf · https://ceriu.qc.ca/bibliotheque/rapport-2025-du-portrait-infrastructures-eau-municipalites-du-quebec-piemq
dma-etat,"Remettre en état les routes, écoles et hôpitaux de l'État","44,8 G$",44.8,stock,"déficit constaté en mars 2026, pris en charge à 63 % d'ici 2036",inscrit au plan officiel,finances,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/6_plan_quebecois_infrastructures.pdf · https://www.quebec.ca/nouvelles/actualites/details/le-gouvernement-frechette-presente-une-strategie-pour-le-maintien-de-ses-infrastructures-publiques-71193
pqi,L'enveloppe d'infrastructures déjà engagée,167 G$,167,stock,"sur 10 ans, de 2026 à 2036",inscrit au plan officiel,finances,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/6_plan_quebecois_infrastructures.pdf · https://www.quebec.ca/nouvelles/actualites/details/plan-quebecois-des-infrastructures-2026-2036-quebec-priorise-le-maintien-du-parc-de-ses-infrastructures-69188
routes,Le rattrapage du réseau routier,"24,5 G$",24.5,stock,"déficit constaté en mars 2026, financé à 43 % d'ici 2036",inscrit au plan officiel,transport,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/6_plan_quebecois_infrastructures.pdf
transport-collectif,Les grands projets de transport collectif,"12,8 G$",12.8,stock,"sur 10 ans, de 2026 à 2036",inscrit au plan officiel,transport,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/6_plan_quebecois_infrastructures.pdf · https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a
energie,Les investissements d'Hydro-Québec,155 à 185 G$,170,stock,"d'ici 2035, soit 12 à 16 G$ par année",inscrit au plan officiel,energie,https://www.hydroquebec.com/data/a-propos/pdf/plan-action-2035.pdf · https://www.hydroquebec.com/data/documents-donnees/pdf/hq-rapport-annuel-2025-francais.pdf · https://www.publicationsduquebec.gouv.qc.ca/fileadmin/Fichiers_client/lois_et_reglements/LoisAnnuelles/fr/2025/2025C24F.PDF
soutien-autonomie,Le soutien à l'autonomie des aînés,"16,5 G$ par année en 2040",16.5,annuel,"de 7,6 G$ en 2023 à 16,5 G$ en 2040, soit +120 % en 17 ans",estimation d'un tiers,sante,https://cjp.hec.ca/wp-content/uploads/2023/11/rapport-principal-CSBE.pdf · https://www.csbe.gouv.qc.ca/performance/constats-systeme.html
sante-poids,Le poids croissant de la santé dans le budget,"60,6 G$ par année aujourd'hui",60.6,annuel,"de 10,4 % du PIB en 2024-2025 à 13 % en 2065",estimation d'un tiers,sante,https://cffp.recherche.usherbrooke.ca/wp-content/uploads/2026/03/cr_2026-03_soutenabilite_VF.pdf · https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/2_plans_annuels_gestion_depenses_mo.pdf · https://institutduquebec.ca/content/publications/a-quoi-pourrait-ressembler-un-plan-de-retour-a-l-equilibre-budgetaire/idq-202503-simulations_budgetaires.pdf
dette,Le service de la dette et les écarts à résorber,"12,3 G$ par année en 2030-2031",12.3,annuel,"de 10,3 G$ en 2026-2027 à 12,3 G$ en 2030-2031",inscrit au plan officiel,finances,https://www.finances.gouv.qc.ca/Budget_et_mise_a_jour/budget/documents/AUTFR_SommaireMars2026.pdf · https://www.finances.gouv.qc.ca/Budget_et_mise_a_jour/budget/documents/Budget2627_PlanBudgetaire.pdf · https://cffp.recherche.usherbrooke.ca/wp-content/uploads/2026/03/cr_2026-03_soutenabilite_VF.pdf
retraites,Les régimes de retraite du secteur public,"3,4 G$ non couverts",3.4,stock,"situation au 31 mars 2025, obligations s'étalant sur plus de 70 ans",inscrit au plan officiel,finances,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/finances/publications-adm/Comptes-publics/FR/CPTFR_vol1-2024-2025.pdf · https://www.retraitequebec.gouv.qc.ca/sites/default/files/SiteCollectionDocuments/RetraiteQuebec/fr/publications/rrsp/participants/4041f-rendements-rregop-2026.pdf
